text,label
"frustrating camera, very unsatisfied",negative
"excellent product, very satisfied",positive
"superb book, highly recommend",positive
"hate headphones, broke quickly",negative
"impressive product, great value",positive
"terrible jacket, one star",negative
"cheap product, waste of money",negative
"perfect blender, great value",positive
"reliable blender, works perfectly",positive
"perfect phone, great value",positive
"delightful jacket, very satisfied",positive
"great book, five stars",positive
"disappointing headphones, broke quickly",negative
"terrible blender, broke quickly",negative
"great keyboard, great value",positive
"poor camera, one star",negative
"delightful jacket, works perfectly",positive
"awful book, broke quickly",negative
"awful blender, very unsatisfied",negative
"awful headphones, would not buy again",negative
"superb laptop, would buy again",positive
"terrible jacket, very unsatisfied",negative
"hate headphones, would not buy again",negative
"awful camera, broke quickly",negative
"horrible headphones, broke quickly",negative
"impressive charger, five stars",positive
"amazing headphones, would buy again",positive
"impressive book, highly recommend",positive
"hate camera, waste of money",negative
"cheap jacket, would not buy again",negative
"disappointing camera, do not recommend",negative
"poor phone, one star",negative
"terrible book, would not buy again",negative
"perfect jacket, highly recommend",positive
"awful blender, do not recommend",negative
"faulty phone, do not recommend",negative
"love charger, would buy again",positive
"terrible laptop, broke quickly",negative
"frustrating laptop, one star",negative
"poor laptop, do not recommend",negative
"disappointing charger, waste of money",negative
"amazing laptop, five stars",positive
"horrible phone, broke quickly",negative
"great phone, five stars",positive
"useless laptop, do not recommend",negative
"impressive phone, highly recommend",positive
"disappointing book, one star",negative
"delightful camera, very satisfied",positive
"fantastic blender, five stars",positive
"impressive product, highly recommend",positive
"poor laptop, broke quickly",negative
"perfect laptop, great value",positive
"amazing charger, very satisfied",positive
"excellent camera, highly recommend",positive
"fantastic laptop, very satisfied",positive
"love phone, great value",positive
"useless camera, would not buy again",negative
"cheap jacket, broke quickly",negative
"cheap laptop, very unsatisfied",negative
"cheap product, broke quickly",negative
"impressive book, five stars",positive
"superb product, very satisfied",positive
"perfect keyboard, works perfectly",positive
"horrible phone, would not buy again",negative
"excellent keyboard, very satisfied",positive
"hate blender, do not recommend",negative
"great charger, would buy again",positive
"useless phone, broke quickly",negative
"useless phone, would not buy again",negative
"useless camera, do not recommend",negative
"hate blender, broke quickly",negative
"frustrating camera, do not recommend",negative
"perfect book, highly recommend",positive
"awful jacket, very unsatisfied",negative
"cheap keyboard, broke quickly",negative
"perfect phone, would buy again",positive
"frustrating product, very unsatisfied",negative
"cheap headphones, do not recommend",negative
"delightful keyboard, very satisfied",positive
